ul.Brzezińska 6, 95-010 Stryków;;;;
ul.Rajska 10, 80-850 Gdańsk;320;1;08:00:00;18:00:00
ul.Tkacka 50, 70-556 Szczecin;500;1;08:00:00;18:00:00
ul.Mokra 1, 61-766 Poznań;100;1;08:00:00;18:00:00
ul.Obotrycka 10, 66-400 Gorzów Wielkopolski;410;1;08:00:00;18:00:00
ul.Szewska 10, 50-122 Wrocław;450;1;08:00:00;18:00:00
ul.Pawia 5, 31-154 Kraków;280;1;08:00:00;18:00:00
ul.Adama Mickiewicza 13, 35-064 Rzeszów;470;1;08:00:00;18:00:00
ul.Królewska 10, 20-109 Lublin;360;1;08:00:00;18:00:00
ul.Dąbrowszczaków 3, 10-538 Olsztyn;230;1;08:00:00;18:00:00
ul.Kościelna 2, 15-001 Białystok;140;1;08:00:00;18:00:00
